problem_index,population_size,crossover_probability,mutation_probability,search_optimal,max_steps,optimal_fitness,optimal_percentage,best_fitness_last_pop,avg_fitness_last_pop,shannon_entropy,num_evaluations,execution_time
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3976.2,0.35266038459387755,1100,0.004
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3986.85,0.3837378715294714,1100,0.002
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3872.84,0.4283429103901842,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3940.0,3842.7,0.3611125483132753,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3951.2,0.2711168312020319,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3912.95,0.38087297487298993,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4005.0,3937.89,0.3382011411581724,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3974.25,0.3358218971882881,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3971.3,0.24287064773545178,1100,0.0
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,4013.3,0.12083403834784669,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3985.0,3858.8,0.5430389832439945,1100,0.0
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3979.0,0.21297631738022813,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4005.0,3990.2,0.11023284966568238,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3937.8,0.4755011273817706,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3958.6,0.25018337682477093,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3995.0,3911.74,0.3964508336828562,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3949.39,0.3798306966200917,1100,0.0
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3898.0,0.2762650402337737,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3895.04,0.48263294386018385,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,4003.1,0.27385476215000787,1100,0.0
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3924.09,0.22725728281277083,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3995.0,3938.15,0.2571833219763146,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3995.0,3816.65,0.4819052963476613,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3957.3,0.375262096565033,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,4001.6,0.2711452635385609,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3966.25,0.10817041659455104,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,4012.3,0.1048417220373979,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3968.74,0.24648665363247452,1100,0.0
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,4015.0,3971.14,0.20743004835840426,1100,0.001
2,100,0.6,0.06666666666666667,false,1000,4015.0,100.0,3995.0,3955.04,0.005386209059727412,1100,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3656.85,0.6630997137938448,451,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3813.45,0.45621105452423716,896,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3995.2,0.010772418119454829,1513,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.016158627179182244,9844,0.007
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.040734492940058965,2513,0.002
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3773.5,0.6205306946041282,754,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3901.15,0.010772418119454829,2607,0.002
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3967.85,0.15221889757239265,1149,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.016158627179182244,14771,0.012
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.016158627179182244,5039,0.003
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3946.3,0.3107045317796926,1137,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3969.3,0.37875637727440054,1254,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3846.35,0.5508467847948288,682,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.10929538830901121,1755,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3986.1,0.054344888127976415,974,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3913.3,0.4342039677301738,943,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3859.8,0.48197117610612317,1090,0.0
