problem_index,population_size,crossover_probability,mutation_probability,search_optimal,max_steps,optimal_fitness,optimal_percentage,best_fitness_last_pop,avg_fitness_last_pop,shannon_entropy,num_evaluations,execution_time
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3262.2,0.4091072304892459,289,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.006343180659605008,3014,0.002
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3995.2,0.005386209059727412,2230,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3877.8,0.2568596990160476,1012,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,4005.1,0.006343180659605008,4718,0.003
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3975.9,0.1776588707975291,917,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3832.0,0.23471459352113672,554,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3794.2,0.27805386393610115,720,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3884.7,0.26209444762361994,823,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3991.5,0.12962711722555423,1643,0.001
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3793.8,0.20102270917273551,699,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3880.4,0.22057439337976004,705,0.0
2,100,0.6,0.06666666666666667,true,1000,4015.0,100.0,4015.0,3720.5,0.31204130012884124,644,0.0
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3788.39,0.28371378101152894,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3827.35,0.31391428833681495,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3773.49,0.31697765837772823,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3985.0,3808.94,0.26581076732713765,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3890.45,0.25685549338251573,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3791.95,0.31604422238889207,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3759.94,0.30245609528836453,1100,0.0
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3755.19,0.29423293963928787,1100,0.001
